"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","test_create_order_invalid_ingredient_hash_server_error","tests","2026-05-22","passed","2026-05-22","TestCreateOrder","test_create_order","",""
"","214","test_login_with_incorrect_credentials_unauthorized","tests","2026-05-22","passed","2026-05-22","TestLoginUser","test_login_user","",""
"","223","test_create_duplicate_user_forbidden","tests","2026-05-22","passed","2026-05-22","TestCreateUser","test_create_user","",""
"","440","test_create_order_with_ingredients","tests","2026-05-22","passed","2026-05-22","TestCreateOrder","test_create_order","",""
"","3923","test_create_order_with_authorization","tests","2026-05-22","passed","2026-05-22","TestCreateOrder","test_create_order","",""
"","427","test_create_order_without_authorization","tests","2026-05-22","passed","2026-05-22","TestCreateOrder","test_create_order","",""
"","213","test_create_user_missing_field_forbidden[email]","tests","2026-05-22","passed","2026-05-22","TestCreateUser","test_create_user","",""
"","208","test_create_user_missing_field_forbidden[name]","tests","2026-05-22","passed","2026-05-22","TestCreateUser","test_create_user","",""
"","314","test_login_existing_user_success","tests","2026-05-22","passed","2026-05-22","TestLoginUser","test_login_user","",""
"","204","test_create_order_without_ingredients_bad_request","tests","2026-05-22","passed","2026-05-22","TestCreateOrder","test_create_order","",""
"","298","test_create_unique_user_success","tests","2026-05-22","passed","2026-05-22","TestCreateUser","test_create_user","",""
"","217","test_create_user_missing_field_forbidden[password]","tests","2026-05-22","passed","2026-05-22","TestCreateUser","test_create_user","",""
